App id,Name of the application,Display name of the application,Genre of the app,Age of the app,current locale of the sheet,"comma separeted locale names, i.e en_US, etc",s3 link for the listing background,Integer number which will decide the priority of the display,Integer number which will decide the priority of the display of max talents,Seller Name,Screenshots folder link,Screenshots - comma separated image names,Icon folder link,Icon image name,Description,Status of the app,True / False value to show if CTA is applicable,Text to show on top right of detail page,Max Card folder link,Max card image name,Release Date,Split of Max content,Internet / Offline,What's New within the app?,Live
36,My Petsaurus,My Petsaurus,"Video, STEM",5-8 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/my_petsaurus_card.png,2,13,Da Vinci Kids,https://storage.googleapis.com/miko3-parental/my_petsaurus/,"petsaurus_ss1.png, petsaurus_ss2.png, petsaurus_ss3.png",https://storage.googleapis.com/miko3-parental/app_icons/,my_petsaurus_icon.png,"Imagine giving your child a virtual pet dinosaur! Wouldn't that be cool? Join Chloe ,Topsy ,Megan & Fluffy in their daily adventures as they interact with their petsauruses in the cutest ways!",TRUE,TRUE,Only with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,my_petsaurus_max.png,dec'21,100% max,internet needed to play,,Live
37,Robowalk,Robowalk,"Miscellaneous, Fun",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/robowalk_card.png,28,,Miko,https://storage.googleapis.com/miko3-parental/robowalk/,"RW_screenshot1.png, RW_screenshot2.png",https://storage.googleapis.com/miko3-parental/app_icons/,robowalk_icon.png,"Miko 'walks the walk & talks the talk' in style! With our new AI feature, let Miko stroll around the house as it greets people without toppling over edges! Kids will love following Miko around!",TRUE,FALSE,NA,,,dec'21,Free,,,Live
38,World Map Quiz,World Map Quiz,"Quiz, Game, World",7-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/world_map_quiz_card.png,2,14,Qbis,https://storage.googleapis.com/miko3-parental/world_map_quiz/," world_map_quiz_ss1.png, world_map_quiz_ss2.png, world_map_quiz_ss3.png, world_map_quiz_ss4.png, world_map_quiz_ss5.png",https://storage.googleapis.com/miko3-parental/app_icons/,world_map_quiz_icon.png,"Teach your kids about world capitals, flags, countries & geography with this app! The world map highlights the various country regions to make learning much easier & fun!",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,world_map_quiz_max.png,jan'22,Quizzes related to countries of the continents of america are free. Rest are all paid max content.,offline,,Live
39,Miko Music,Miko Music,"Audio, Video, Fun",5-8 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/miko_music_talent_card.png,15,,Miko,https://storage.googleapis.com/miko3-parental/miko_music/,"MM_Screenshot1.png, MM_Screenshot2.png, MM_Screenshot3.png, MM_Screenshot4.png, MM_Screenshot5.png",https://storage.googleapis.com/miko3-parental/app_icons/,miko_music_icon.png,Enjoy a collection of hand-picked rhymes & children- friendly songs for your little one! Let's get ready for some Itsy-Bitsy fun!,TRUE,FALSE,NA,,,jan'22,Free,,,Live
40,Tapping Toes,Tapping Toes,"Personality, Fun",5-10 years,en_US,"en_US,ar_AE,de_DE,es_US,es_ES,fr_FR,it_IT,zh_CN",https://storage.googleapis.com/miko3-parental/app_talent_cards/tapping_toes_card.png,25,,Miko,https://storage.googleapis.com/miko3-parental/tapping_toes/,"TT_screenshot1.png, TT_screenshot2.png, TT_screenshot3.png",https://storage.googleapis.com/miko3-parental/app_icons/,tapping_toes_icon.png,Make Miko dance to your tunes! Play any song on your phone/device & open this app. Miko detects the changing beat of the song and dances with the coolest moves! Party On!,TRUE,FALSE,NA,,,jan'22,Free,,,Live
41,I Seek You,I Seek You,"Personality, Fun",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/i_seek_you_card.png,34,,Miko,https://storage.googleapis.com/miko3-parental/i_seek_you/,"ISY_screenshot1.png, ISY_screenshot2.png, ISY_screenshot3.png",https://storage.googleapis.com/miko3-parental/app_icons/,i_seek_you_icon.png,Set Miko free! Miko strolls around the house & greets people on its way with some music & dance! It's like having a new member in the family!,TRUE,FALSE,NA,,,jan'22,Free,,,Live
42,Lingokids,Lingokids,"Video,Game,Language",5-7 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/lingokids_card.png,37,18,Lingokids,https://storage.googleapis.com/miko3-parental/lingokids/,"screenshot_1.png,screenshot_2.png,screenshot_3.png,screenshot_4.png",https://storage.googleapis.com/miko3-parental/app_icons/,lingokids_icon.png,"Take your kid's playful learning to a whole new level through a collection of videos, games and audios from Lingokids! Whether you want your kid to brush up on their English vocabulary, numbers, or just have a good old boogie - we've got you covered!",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,lingokids_max.png,feb'22,1 Unit is free out of 5 units,Online,,Live
43,Adventure Stories,Adventure Stories,"Story, Values",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/kidlo_adventure.png,10,20,Kidloland,https://storage.googleapis.com/miko3-parental/Adventure-Stories/,"adventure_stories_ss1.png, adventure_stories_ss2.png, adventure_stories_ss3.png, adventure_stories_ss4.png, adventure_stories_ss5.png",https://storage.googleapis.com/miko3-parental/app_icons/,kidlo_adventure_icon.png,"Enjoy the experience of story-telling with one of the finest curators! Bibo takes your kids on a journey through space and time to meet aliens, dinosaurs & other magical creatures!",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,kidlo_adventure_max_card.png,April 21- 2022,6/7 stories out of ~40,Offline,,Live
44,Moral Stories,Moral Stories,"Story, Values",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/kidlo_moral.png,12,21,Kidloland,https://storage.googleapis.com/miko3-parental/Moral-Stories/,"moral_stores_ss1.png,moral_stores_ss2.png,moral_stores_ss3.png,moral_stores_ss4.png,moral_stores_ss5.png",https://storage.googleapis.com/miko3-parental/app_icons/,kidlo_moral_icon.png,"Explore fun-filled stories that teach important life lessons on sharing, kindness and more.",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,kidlo_moral_max_card.png,April 21- 2022,6/7 stories out of ~40,Offline,,Live
45,Fairy Tales,Fairy Tales,"Story, Values",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/kidlo_fairy.png,14,22,Kidloland,https://storage.googleapis.com/miko3-parental/Fairy-Tales/," fairy_tales_ss1.png, fairy_tales_ss2.png, fairy_tales_ss3.png, fairy_tales_ss4.png, fairy_tales_ss5.png",https://storage.googleapis.com/miko3-parental/app_icons/,kidlo_fairy_icon.png,Relive classic stories like the Three Little Pigs and Rapunzel alongside your pal Miko.,TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,kidlo_fairy_max_card.png,April 21- 2022,6/7 stories out of ~40,Offline,,Live
46,Early Learning,Early Learning,"Story, Values",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/kidlo_early_learning.png,16,23,Kidloland,https://storage.googleapis.com/miko3-parental/Early-Learning/,"early_learning_ss1.png,early_learning_ss2.png,early_learning_ss3.png,early_learning_ss4.png,early_learning_ss5.png",https://storage.googleapis.com/miko3-parental/app_icons/,kidlo_early_learning_icon.png,Nurture your little one’s love for learning with stories featuring unforgettable characters.,TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,kidlo_early_learning_max_card.png,April 21- 2022,6/7 stories out of ~40,Offline,,Live
47,Animal stories,Animal stories,"Story, Values",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/kidlo_animal.png,18,24,Kidloland,https://storage.googleapis.com/miko3-parental/Animal-Stories/,"animal_stories_ss_1.png,animal_stories_ss_2.png,animal_stories_ss_3.png,animal_stories_ss_4.png",https://storage.googleapis.com/miko3-parental/app_icons/,kidlo_animal.png,"Have tons of laughs with animals in the jungle, on the farm and even in outer space.",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,kidlo_animal_max_card.png,April 21- 2022,6/7 stories out of ~40,Offline,,Live
48,Phonic Stories,Phonic Stories,"Story, Values",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/kidlo_phonics.png,20,25,Kidloland,https://storage.googleapis.com/miko3-parental/Phonic-Stories/,"phonic_1.png,phonic_2.png,phonic_3.png,phonic_4.png",https://storage.googleapis.com/miko3-parental/app_icons/,kidlo_phonics.png,Boost your child’s reading and writing skills with stories that makes phonics fun.,TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,kidlo_phonics_max_card.png,April 21- 2022,6/7 stories out of ~40,Offline,,Live
49,Kidoodle,Kidoodle,"Video, Fun",5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/kidoodle_talent_card.png,39,13,Kidoodle.TV,https://storage.googleapis.com/miko3-parental/kidoodle/,"kidoodle_sc1.png,kidoodle_sc2.png,kidoodle_sc3.png,kidoodle_sc4.png",https://storage.googleapis.com/miko3-parental/app_icons/,kidoodle_icon.png,"Kidoodle.TV is a premiere streaming service devoted to providing safe, engaging, and inspiring experiences for children. With an extensive content library featuring popular TV shows, educational and entertaining programming, gaming content and more. Find the peace-of-mind knowing your kids are safe with Kidoodle.",TRUE,TRUE,Full Access with Miko Max,https://storage.googleapis.com/miko3-parental/app_max_cards/,kidoodle_max_card_3.png,April 21- 2022,6 shows free out of all shows,Online,,Live
50,Calculator,Calculator,Utility,5-10 years,en_US,en_US,https://storage.googleapis.com/miko3-parental/app_talent_cards/calculator.png,5,,Miko,https://storage.googleapis.com/miko3-parental/calculator,"calculator.png,calculator1.png,calculator2.png",https://storage.googleapis.com/miko3-parental/app_icons/,calculator_icon.png,"Miko now hosts a handy calculator which enables your child to do everything from basic arithmatic calculations, to metric conversions. Not just that, it also features a very useful length scale! ",TRUE,FALSE,NA,,,,,,,
