,App id,Display name of the application,Description,Audio,Creative Arts,Environment,Fun,Game,Language,Logic,Miscellaneous,Personality,Puzzle,Quest,Quiz,STEM,Story,Trivia,Utility,Values,Video,Wellness,World
26,31,Dreamy Kid,"Kids have a lot of energy! Help them channelise it better in a productive way through our guided meditation routine! Not only does this app help center your kids in a cool & calm fashion, it also rids kids of stress, fatigue, anxiety & other draining emotions!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
27,32,Out of this word,"Teach your kids popular idioms & phrases through our two adorable, animated teachers, Max & Moon! This app offers over 70 videos & 100 games that help kids in understanding the origin & meaning of world famous idioms! Isn't this a total 'Win Hands Down'?!",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,33,Oomee Pinata,Don't have a real big-sized pinata lying around? Don't worry! Just have your kids tap our virtual fruit pinata for some fresh fun! Yum!,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,34,Christmas Magic,"'You better not pout, I am telling you why, Santa Claus is coming to town!' Let your kids sing along to classic christmas carols & play fun games to receive gifts from Santa! Let's spread the holiday cheer this season!",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,35,Wake the Santa,Wakey Wakey! Christmas is a busy season for Santa. Ask your kids to wake Santa up by throwing snowflakes on Santa's head! Rise & Shine Santa! Ho Ho Ho!,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
31,36,My Petsaurus,"Imagine giving your child a virtual pet dinosaur! Wouldn't that be cool? Join Chloe ,Topsy ,Megan & Fluffy in their daily adventures as they interact with their petsauruses in the cutest ways!",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32,37,Robowalk,"Miko 'walks the walk & talks the talk' in style! With our new AI feature, let Miko stroll around the house as it greets people without toppling over edges! Kids will love following Miko around!",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,38,World Map Quiz,"Teach your kids about world capitals, flags, countries & geography with this app! The world map highlights the various country regions to make learning much easier & fun!",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,39,Miko Music,Enjoy a collection of hand-picked rhymes & children- friendly songs for your little one! Let's get ready for some Itsy-Bitsy fun!,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35,40,Tapping Toes,Make Miko dance to your tunes! Play any song on your phone/device & open this app. Miko detects the changing beat of the song and dances with the coolest moves! Party On!,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,41,I Seek You,Set Miko free! Miko strolls around the house & greets people on its way with some music & dance! It's like having a new member in the family!,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,42,Lingokids,"Take your kid's playful learning to a whole new level through a collection of videos, games and audios from Lingokids! Whether you want your kid to brush up on their English vocabulary, numbers, or just have a good old boogie - we've got you covered!",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,43,Adventure Stories,"Enjoy the experience of story-telling with one of the finest curators! Bibo takes your kids on a journey through space and time to meet aliens, dinosaurs & other magical creatures!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
39,44,Moral Stories,"Explore fun-filled stories that teach important life lessons on sharing, kindness and more.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40,45,Fairy Tales,Relive classic stories like the Three Little Pigs and Rapunzel alongside your pal Miko.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
41,46,Early Learning,Nurture your little one’s love for learning with stories featuring unforgettable characters.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
42,47,Animal stories,"Have tons of laughs with animals in the jungle, on the farm and even in outer space.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
43,48,Phonic Stories,Boost your child’s reading and writing skills with stories that makes phonics fun.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
44,49,Kidoodle,"Kidoodle.TV is a premiere streaming service devoted to providing safe, engaging, and inspiring experiences for children. With an extensive content library featuring popular TV shows, educational and entertaining programming, gaming content and more. Find the peace-of-mind knowing your kids are safe with Kidoodle.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,50,Calculator,"Miko now hosts a handy calculator which enables your child to do everything from basic arithmatic calculations, to metric conversions. Not just that, it also features a very useful length scale! ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
